Experiment ID,Independent Variable,Dependent Variable,Research Question Category
PSARZX2,"no choice vs. choice, challenge vs standard",problem set correctness,no choice vs. choice
PSAS25R,text vs video answer,problems to mastery,text vs. video
PSASA4B,adaptive,posttest,adaptive homework
PSASA67,text vs video first problem correct,posttest,text vs. video
PSASDZY,adaptive,problems to mastery,adaptive homework
PSASRKH,text vs video vs hint,problems to mastery,text vs. video
PSATNB2,text vs video scaffold vs hint,problems to mastery,text vs. video
PSATNCQ,correctness only vs hints only vs worked examples - text vs worked examples - video,problems to mastery,text vs. video
PSATP2Z,video vs. no video,posttest,video vs. no video
PSATZEJ,choice of: text vs video hints,problems to mastery,no choice vs. choice
PSAU4JD,"no choice vs. choice, challenge vs standard",problem set correctness,no choice vs. choice
PSAU5XF,hint vs. answer,posttest,hints
PSAU6Y4,text vs video scaffold,problems to mastery,text vs. video
PSAU7GZ,text vs video scaffold,problems to mastery,text vs. video
PSAU85Y,text vs video scaffold,problems to mastery,text vs. video
PSAU88D,answer vs hint vs text vs video,problems to mastery,text vs. video
PSAUK57,"correctness only vs treatments (hints only, worked text examples, worked video examples)",problems to mastery,text vs. video
PSAUKPM,adaptive vs non-adaptive,problems to mastery,adaptive homework
PSAUKPR,video problems vs text,problems to mastery,text vs. video
PSAUTWT,"no choice vs choice of more, less, or standard practice practice in skill builder",completion,no choice vs. choice
PSAUTWU,choice of harder or easier problems,problem set correctness,no choice vs. choice
PSAUUKY,"no choice vs. choice, challenge vs standard",problem set correctness,no choice vs. choice
PSAV89B,"message before problem section: assess confidence vs ""moving on"" message vs none",problems to mastery,motivational messages
PSAVDFE,1 hint vs 5 hints vs scaffold,posttest-pretest,hints
PSAVK69,"scaffolding attempts: 1, 2, or 3",posttest-pretest,number of attempts
PSAVTMK,"completion count: 3 vs 2, 4, or 5",posttest,number of problems
PSAWHF4,choice of in problem hints: video or text vs random assign,problems to mastery,no choice vs. choice
PSAWU6Z,"message before problem section: assess confidence vs ""moving on"" message vs none",problems to mastery,motivational messages
PSAXBAF,skill builder vs assessment and worked out problems if more practice needed,posttest,adaptive homework
PSAXD6K,2 hints vs 5 hints,posttest,hints
PSAXJC2,"skill builder: 3 in a row vs 2, 4, or 5",posttest,number of problems
PSAXP7W,remediation problems vs normal skill builder,posttest,adaptive homework
PSAXTEE,theory first then real world skill builder vs the reverse,problems to mastery,order
PSAYCFH,video hints or not,posttest,video vs. no video
PSAYN42,no remediation vs choose one or all remediation vs give all remediation,posttest,no choice vs. choice
PSAZ2G4,no choice vs. choice,posttest,no choice vs. choice
PSAZ5HX,type of question being asked,posttest-pretest,question/answer type
PSAZGQM,Number of problems for mastery,posttest,number of problems
